company_name,ticker,sector,ticker_yfinance,currency,exchange,country,index,has_adr,adr_ticker
Loews Corporation,L,Financials,L,USD,NYSE/NASDAQ,US,SP500,False,
Lowe's,LOW,Consumer Discretionary,LOW,USD,NYSE/NASDAQ,US,SP500,False,
Lululemon Athletica,LULU,Consumer Discretionary,LULU,USD,NYSE/NASDAQ,US,SP500,False,
Lumentum,LITE,Information Technology,LITE,USD,NYSE/NASDAQ,US,SP500,False,
LyondellBasell,LYB,Materials,LYB,USD,NYSE/NASDAQ,US,SP500,False,
M&T Bank,MTB,Financials,MTB,USD,NYSE/NASDAQ,US,SP500,False,
Marathon Petroleum,MPC,Energy,MPC,USD,NYSE/NASDAQ,US,SP500,False,
Marriott International,MAR,Consumer Discretionary,MAR,USD,NYSE/NASDAQ,US,SP500,False,
Marsh McLennan,MRSH,Financials,MRSH,USD,NYSE/NASDAQ,US,SP500,False,
Martin Marietta Materials,MLM,Materials,MLM,USD,NYSE/NASDAQ,US,SP500,False,
Masco,MAS,Industrials,MAS,USD,NYSE/NASDAQ,US,SP500,False,
Mastercard,MA,Financials,MA,USD,NYSE/NASDAQ,US,SP500,False,
McCormick & Company,MKC,Consumer Staples,MKC,USD,NYSE/NASDAQ,US,SP500,False,
McDonald's,MCD,Consumer Discretionary,MCD,USD,NYSE/NASDAQ,US,SP500,False,
McKesson Corporation,MCK,Health Care,MCK,USD,NYSE/NASDAQ,US,SP500,False,
Medtronic,MDT,Health Care,MDT,USD,NYSE/NASDAQ,US,SP500,False,
Merck & Co.,MRK,Health Care,MRK,USD,NYSE/NASDAQ,US,SP500,False,
Meta Platforms,META,Communication Services,META,USD,NYSE/NASDAQ,US,SP500,False,
MetLife,MET,Financials,MET,USD,NYSE/NASDAQ,US,SP500,False,
Mettler Toledo,MTD,Health Care,MTD,USD,NYSE/NASDAQ,US,SP500,False,
MGM Resorts,MGM,Consumer Discretionary,MGM,USD,NYSE/NASDAQ,US,SP500,False,
Microchip Technology,MCHP,Information Technology,MCHP,USD,NYSE/NASDAQ,US,SP500,False,
Micron Technology,MU,Information Technology,MU,USD,NYSE/NASDAQ,US,SP500,False,
Microsoft,MSFT,Information Technology,MSFT,USD,NYSE/NASDAQ,US,SP500,False,
Mid-America Apartment Communities,MAA,Real Estate,MAA,USD,NYSE/NASDAQ,US,SP500,False,
Moderna,MRNA,Health Care,MRNA,USD,NYSE/NASDAQ,US,SP500,False,
Molson Coors Beverage Company,TAP,Consumer Staples,TAP,USD,NYSE/NASDAQ,US,SP500,False,
Mondelez International,MDLZ,Consumer Staples,MDLZ,USD,NYSE/NASDAQ,US,SP500,False,
Monolithic Power Systems,MPWR,Information Technology,MPWR,USD,NYSE/NASDAQ,US,SP500,False,
Monster Beverage,MNST,Consumer Staples,MNST,USD,NYSE/NASDAQ,US,SP500,False,
Moody's Corporation,MCO,Financials,MCO,USD,NYSE/NASDAQ,US,SP500,False,
Morgan Stanley,MS,Financials,MS,USD,NYSE/NASDAQ,US,SP500,False,
Mosaic Company (The),MOS,Materials,MOS,USD,NYSE/NASDAQ,US,SP500,False,
Motorola Solutions,MSI,Information Technology,MSI,USD,NYSE/NASDAQ,US,SP500,False,
